user_id,first_name,last_name,gender,city,major,degree_type,gpa,skill_name,skill_level
U0045,Linh,Pham,Male,Ho Chi Minh,Finance,Master,2.17,Excel,L1
U0046,Anh,Tran,Female,Hanoi,Information Systems,Master,3.95,SQL,L1
U0047,Trang,Phan,Female,Ho Chi Minh,Computer Science,Master,3.41,"Data Structures, Machine Learning, R, Java","L3, L3, L3, L4"
U0048,Nhi,Do,Male,Hanoi,Business Administration,Master,2.02,"Excel, Communication, Negotiation","L3, L1, L2"
U0049,Phuc,Phan,Female,Ho Chi Minh,Information Systems,Master,3.41,"Excel, Python, Power BI","L1, L4, L4"
U0050,Huy,Dang,Female,Hanoi,Finance,Bachelor,2.81,"Power BI, Data Analysis, Excel, Accounting, SQL","L1, L3, L2, L4, L1"
U0051,Minh,Pham,Male,Ho Chi Minh,Computer Science,Master,3.94,"Machine Learning, Data Structures, Java","L1, L1, L4"
U0052,Trang,Le,Female,Hanoi,Computer Science,Bachelor,2.55,"Data Structures, R, Java, Python, Machine Learning","L2, L2, L4, L4, L4"
U0053,Anh,Phan,Male,Ho Chi Minh,Computer Science,Master,3.42,R,L4
U0054,Phuc,Le,Female,Ho Chi Minh,Finance,Master,3.25,"Excel, Data Analysis, SQL","L2, L3, L4"
U0055,Trang,Do,Male,Ho Chi Minh,Information Systems,Master,2.02,"Excel, Python, Power BI","L1, L4, L3"
U0056,Anh,Hoang,Male,Hanoi,Business Administration,Bachelor,3.77,"Leadership, Project Management","L1, L2"
U0057,Tuan,Le,Female,Ho Chi Minh,Computer Science,Master,2.28,Python,L2
U0058,Tuan,Hoang,Female,Ho Chi Minh,Computer Science,Master,3.33,"Python, R, Data Structures, Machine Learning","L2, L2, L2, L1"
U0059,Hoa,Tran,Male,Ho Chi Minh,Information Systems,Bachelor,3.55,"Excel, Python, Data Visualization, Power BI, SQL","L1, L3, L2, L1, L1"
U0060,Trang,Pham,Female,Hanoi,Computer Science,Bachelor,3.26,"R, Java","L1, L2"
U0061,Tuan,Phan,Female,Hanoi,Computer Science,Bachelor,2.19,R,L1
U0062,Anh,Tran,Female,Ho Chi Minh,Finance,Master,3.95,Excel,L1
U0063,Hoa,Tran,Male,Da Nang,Marketing,Master,2.47,"Marketing Strategy, Power BI, Excel, Communication","L1, L4, L1, L3"
U0064,Anh,Bui,Male,Ho Chi Minh,Information Systems,Master,3.26,"SQL, Data Visualization, Python, Power BI, Excel","L2, L3, L2, L4, L3"
U0065,Hoa,Nguyen,Male,Da Nang,Information Systems,Master,3.59,"SQL, Python","L4, L4"
U0066,Trang,Dang,Female,Hanoi,Information Systems,Bachelor,3.88,"SQL, Excel, Python","L4, L1, L3"
U0067,Phuc,Hoang,Female,Hanoi,Finance,Bachelor,3.21,Data Analysis,L1
U0068,Nhi,Bui,Male,Da Nang,Finance,Master,2.52,"Power BI, Excel, SQL, Data Analysis","L1, L1, L3, L3"
U0069,Khanh,Nguyen,Male,Da Nang,Business Administration,Bachelor,3.67,"Negotiation, Project Management","L4, L1"
U0070,Phuc,Dang,Female,Ho Chi Minh,Finance,Bachelor,2.33,"Power BI, Data Analysis","L2, L1"
U0071,Linh,Hoang,Female,Da Nang,Information Systems,Bachelor,2.04,Power BI,L1
U0072,Anh,Pham,Female,Hanoi,Business Administration,Master,3.82,"Communication, Project Management, Excel, Leadership, Negotiation","L2, L1, L4, L1, L3"
U0073,Linh,Dang,Female,Hanoi,Marketing,Bachelor,3.15,"Marketing Strategy, Power BI, Social Media","L1, L2, L1"
U0074,Phuc,Phan,Male,Hanoi,Computer Science,Master,2.14,"Machine Learning, Python, Data Structures, R, Java","L2, L4, L2, L2, L1"
U0075,Hoa,Tran,Female,Ho Chi Minh,Computer Science,Master,3.16,"Java, R","L3, L4"
U0076,Khanh,Nguyen,Female,Hanoi,Business Administration,Master,2.29,"Communication, Project Management, Excel, Negotiation, Leadership","L1, L2, L2, L2, L4"
U0077,Khanh,Nguyen,Male,Ho Chi Minh,Marketing,Bachelor,2.06,"Marketing Strategy, Excel, Power BI","L2, L1, L2"
U0078,Minh,Nguyen,Male,Hanoi,Computer Science,Bachelor,2.23,"Data Structures, R","L3, L1"
U0079,Khanh,Hoang,Female,Ho Chi Minh,Business Administration,Bachelor,3.55,"Negotiation, Communication, Project Management, Excel, Leadership","L1, L3, L4, L3, L3"
U0080,Nhi,Phan,Male,Hanoi,Finance,Bachelor,3.51,Data Analysis,L2
U0081,Khanh,Dang,Female,Ho Chi Minh,Information Systems,Master,3.21,"Data Visualization, SQL, Power BI","L2, L1, L4"
U0082,Phuc,Tran,Female,Ho Chi Minh,Marketing,Master,2.42,"Marketing Strategy, Social Media, Power BI, Excel","L3, L4, L1, L3"
U0083,Minh,Phan,Male,Da Nang,Computer Science,Master,3.48,"R, Data Structures","L4, L2"
U0084,Phuc,Bui,Male,Hanoi,Information Systems,Bachelor,2.82,Python,L3
U0085,Phuc,Pham,Female,Ho Chi Minh,Business Administration,Bachelor,3.02,"Communication, Project Management","L4, L4"
U0086,Huy,Le,Male,Hanoi,Computer Science,Bachelor,3.8,"Data Structures, R, Machine Learning, Python","L1, L3, L1, L1"
U0087,Minh,Phan,Female,Ho Chi Minh,Information Systems,Master,2.92,"Excel, Python, SQL, Data Visualization","L3, L2, L2, L4"
U0088,Phuc,Bui,Female,Ho Chi Minh,Finance,Master,3.25,"Excel, Accounting, Power BI","L4, L4, L2"
U0089,Huy,Tran,Female,Da Nang,Marketing,Bachelor,3.92,Marketing Strategy,L3
U0090,Huy,Le,Male,Ho Chi Minh,Business Administration,Master,2.9,Excel,L4
U0091,Minh,Le,Female,Ho Chi Minh,Computer Science,Master,3.12,Data Structures,L2
U0092,Linh,Phan,Female,Ho Chi Minh,Finance,Bachelor,3.17,Power BI,L3
U0093,Hoa,Nguyen,Female,Ho Chi Minh,Marketing,Bachelor,2.48,"Excel, Social Media, Power BI, Communication, Marketing Strategy","L1, L2, L3, L1, L4"
U0094,Nhi,Vo,Male,Ho Chi Minh,Marketing,Master,3.47,"Marketing Strategy, Power BI, Excel, Social Media, Communication","L2, L3, L2, L3, L4"
U0095,Hoa,Tran,Female,Hanoi,Finance,Bachelor,3.45,"Power BI, Data Analysis","L1, L3"
U0096,Khanh,Nguyen,Female,Da Nang,Computer Science,Master,2.43,"Data Structures, R, Java, Python","L3, L3, L4, L1"
U0097,Nhi,Tran,Female,Hanoi,Marketing,Bachelor,2.03,"Power BI, Excel, Marketing Strategy, Communication","L3, L1, L2, L1"
U0098,Khanh,Vo,Male,Ho Chi Minh,Business Administration,Master,4,Leadership,L2
U0099,Phuc,Pham,Female,Da Nang,Information Systems,Bachelor,3.16,"Excel, SQL, Python, Data Visualization","L2, L3, L4, L4"
U0100,Anh,Vo,Female,Hanoi,Business Administration,Bachelor,2.36,"Project Management, Excel","L3, L1"
U0101,Minh,Do,Male,Ho Chi Minh,Marketing,Bachelor,2.57,"Power BI, Communication, Social Media","L3, L4, L1"
U0102,Nhi,Phan,Male,Da Nang,Information Systems,Master,3.24,"SQL, Excel, Power BI","L2, L3, L2"
U0103,Nhi,Phan,Female,Da Nang,Finance,Master,2.28,"Data Analysis, Power BI","L1, L1"
U0104,Phuc,Bui,Female,Da Nang,Information Systems,Bachelor,2.07,"Data Visualization, Excel, SQL, Power BI, Python","L3, L1, L4, L2, L2"
U0105,Linh,Nguyen,Female,Ho Chi Minh,Information Systems,Master,3.6,"Excel, Data Visualization, Python, SQL","L3, L3, L4, L3"
U0106,Huy,Bui,Male,Ho Chi Minh,Information Systems,Master,3.43,"Excel, Data Visualization, SQL","L2, L4, L2"
U0107,Phuc,Do,Male,Da Nang,Marketing,Bachelor,2.62,Power BI,L4
U0108,Tuan,Vo,Female,Hanoi,Computer Science,Bachelor,2.12,"Python, R, Machine Learning, Java","L1, L4, L4, L4"
U0109,Huy,Phan,Male,Ho Chi Minh,Marketing,Bachelor,2.97,"Excel, Social Media, Power BI, Communication, Marketing Strategy","L2, L2, L2, L1, L1"
U0110,Minh,Hoang,Female,Ho Chi Minh,Computer Science,Master,2.55,"Python, Java","L2, L4"
U0111,Huy,Vo,Female,Hanoi,Finance,Bachelor,2.8,"Data Analysis, Power BI","L3, L3"
U0112,Linh,Vo,Male,Ho Chi Minh,Finance,Master,2.55,"Excel, Power BI, Accounting","L4, L2, L3"
U0113,Huy,Do,Female,Da Nang,Finance,Master,2.35,"Accounting, Data Analysis, Power BI, SQL","L3, L4, L2, L1"
U0114,Minh,Pham,Male,Hanoi,Finance,Master,2.77,"SQL, Power BI, Data Analysis, Excel","L3, L1, L3, L1"
U0115,Linh,Tran,Male,Hanoi,Finance,Bachelor,3.93,"Power BI, Accounting","L3, L4"
U0116,Hoa,Do,Female,Ho Chi Minh,Business Administration,Bachelor,2.53,"Communication, Project Management, Excel","L2, L2, L3"
U0117,Nhi,Tran,Male,Ho Chi Minh,Marketing,Master,2.67,Communication,L2
U0118,Nhi,Phan,Female,Ho Chi Minh,Computer Science,Master,2.66,"Java, Python, Machine Learning, Data Structures","L1, L3, L4, L2"
U0119,Khanh,Do,Male,Ho Chi Minh,Finance,Bachelor,2.96,"Excel, Accounting, Data Analysis, Power BI","L1, L3, L4, L1"
U0120,Hoa,Tran,Female,Hanoi,Business Administration,Bachelor,3.69,"Negotiation, Leadership","L1, L4"
U0121,Hoa,Bui,Female,Hanoi,Business Administration,Bachelor,2.8,"Project Management, Negotiation, Communication, Leadership","L3, L3, L3, L2"
U0122,Huy,Do,Female,Hanoi,Business Administration,Bachelor,3.61,"Negotiation, Leadership, Project Management, Communication","L1, L1, L2, L2"
U0123,Nhi,Phan,Male,Da Nang,Marketing,Bachelor,2.23,"Marketing Strategy, Excel","L4, L2"
U0124,Minh,Do,Female,Hanoi,Finance,Bachelor,3.79,Data Analysis,L2
U0125,Trang,Phan,Male,Ho Chi Minh,Business Administration,Bachelor,2.37,"Excel, Negotiation","L1, L4"
U0126,Trang,Do,Male,Hanoi,Business Administration,Bachelor,2.08,Negotiation,L2
U0127,Linh,Tran,Male,Da Nang,Finance,Bachelor,2.32,Power BI,L2
U0128,Nhi,Pham,Male,Ho Chi Minh,Marketing,Master,2.38,"Marketing Strategy, Excel, Communication, Power BI, Social Media","L4, L2, L1, L3, L1"
U0129,Nhi,Dang,Male,Ho Chi Minh,Business Administration,Bachelor,3.02,"Leadership, Project Management","L1, L2"
U0130,Trang,Tran,Female,Ho Chi Minh,Computer Science,Bachelor,2.9,"Data Structures, Java","L2, L4"
U0131,Nhi,Nguyen,Male,Ho Chi Minh,Information Systems,Master,3.43,"Power BI, Python","L3, L2"
U0132,Huy,Le,Female,Ho Chi Minh,Information Systems,Bachelor,2.1,"Python, Data Visualization, Excel","L3, L3, L1"
U0133,Tuan,Pham,Female,Ho Chi Minh,Information Systems,Bachelor,3,"Excel, Data Visualization, Python","L4, L1, L1"
U0134,Anh,Bui,Male,Hanoi,Marketing,Master,2.66,"Power BI, Excel, Social Media, Communication, Marketing Strategy","L2, L2, L3, L1, L1"
U0135,Hoa,Vo,Female,Ho Chi Minh,Business Administration,Bachelor,3.26,"Leadership, Communication, Project Management, Negotiation","L4, L4, L3, L3"
U0136,Khanh,Tran,Female,Ho Chi Minh,Information Systems,Master,2.09,"Power BI, SQL, Python, Data Visualization, Excel","L3, L4, L1, L3, L1"
U0137,Linh,Do,Male,Hanoi,Information Systems,Master,2.07,Excel,L4
U0138,Tuan,Tran,Female,Hanoi,Finance,Bachelor,2.85,Data Analysis,L3
U0139,Trang,Hoang,Male,Hanoi,Business Administration,Master,3.62,"Communication, Excel, Project Management, Negotiation, Leadership","L2, L1, L4, L1, L3"
U0140,Hoa,Pham,Male,Ho Chi Minh,Business Administration,Master,3.34,"Communication, Negotiation, Project Management, Excel, Leadership","L4, L2, L1, L3, L4"
U0141,Nhi,Dang,Male,Ho Chi Minh,Finance,Master,2.03,"Power BI, Excel, Accounting","L3, L3, L4"
U0142,Khanh,Bui,Female,Hanoi,Business Administration,Master,2.36,"Excel, Negotiation, Communication, Project Management","L3, L1, L2, L3"
U0143,Nhi,Hoang,Female,Da Nang,Computer Science,Bachelor,2.45,Machine Learning,L1
U0144,Minh,Phan,Female,Ho Chi Minh,Marketing,Master,2.85,Excel,L4
U0145,Minh,Hoang,Female,Ho Chi Minh,Finance,Master,3.17,"Data Analysis, Accounting","L2, L3"
U0146,Khanh,Tran,Male,Da Nang,Information Systems,Bachelor,2.43,"Excel, Data Visualization, Python, SQL, Power BI","L4, L3, L1, L1, L2"
U0147,Khanh,Bui,Male,Hanoi,Business Administration,Master,2.77,"Project Management, Communication, Negotiation, Leadership","L3, L3, L4, L4"
U0148,Trang,Tran,Female,Da Nang,Computer Science,Bachelor,3.17,"R, Data Structures, Machine Learning, Java","L1, L4, L3, L1"
U0149,Khanh,Phan,Male,Hanoi,Computer Science,Master,2.77,"Machine Learning, Java, R, Data Structures, Python","L1, L2, L1, L3, L4"
U0150,Huy,Vo,Female,Ho Chi Minh,Marketing,Bachelor,2.29,Excel,L3
U0151,Nhi,Bui,Male,Ho Chi Minh,Computer Science,Master,2.98,"Python, Java, Machine Learning, R, Data Structures","L1, L3, L2, L2, L3"
U0152,Tuan,Vo,Male,Hanoi,Business Administration,Bachelor,2.65,"Leadership, Communication","L2, L1"
U0153,Phuc,Pham,Male,Da Nang,Business Administration,Master,3.73,Project Management,L3
U0154,Khanh,Pham,Male,Ho Chi Minh,Computer Science,Bachelor,3.55,"R, Machine Learning","L4, L1"
U0155,Linh,Vo,Male,Ho Chi Minh,Business Administration,Bachelor,2.38,"Communication, Negotiation, Project Management, Excel, Leadership","L1, L1, L4, L4, L4"
U0156,Minh,Pham,Female,Ho Chi Minh,Business Administration,Bachelor,2.31,"Negotiation, Communication, Project Management, Leadership, Excel","L1, L4, L3, L1, L3"
U0157,Huy,Bui,Female,Hanoi,Information Systems,Bachelor,2.7,"SQL, Excel, Power BI, Python","L1, L1, L1, L1"
U0158,Hoa,Do,Male,Hanoi,Finance,Bachelor,2.82,"SQL, Accounting, Power BI, Excel, Data Analysis","L1, L1, L1, L4, L4"
U0159,Phuc,Nguyen,Female,Ho Chi Minh,Business Administration,Master,3.86,"Negotiation, Leadership, Project Management, Communication, Excel","L1, L3, L3, L1, L1"
U0160,Tuan,Pham,Male,Hanoi,Business Administration,Master,2.6,"Project Management, Leadership","L1, L4"
U0161,Phuc,Pham,Male,Hanoi,Marketing,Bachelor,3.74,"Marketing Strategy, Power BI, Excel, Communication, Social Media","L2, L2, L2, L1, L2"
U0162,Khanh,Tran,Male,Hanoi,Finance,Bachelor,3.01,"Accounting, SQL, Power BI, Excel, Data Analysis","L3, L4, L4, L1, L2"
U0163,Trang,Vo,Male,Ho Chi Minh,Finance,Master,3.77,"Accounting, Excel","L4, L2"
U0164,Minh,Le,Female,Ho Chi Minh,Finance,Master,3.4,SQL,L4
U0165,Minh,Dang,Male,Hanoi,Computer Science,Bachelor,3.42,"Machine Learning, Python, Data Structures, R","L1, L1, L1, L1"
U0166,Hoa,Hoang,Female,Hanoi,Information Systems,Master,3.04,"Excel, SQL, Data Visualization, Python, Power BI","L1, L1, L3, L3, L3"
U0167,Trang,Pham,Male,Hanoi,Information Systems,Bachelor,3.68,"Excel, Data Visualization, SQL","L3, L3, L4"
U0168,Nhi,Hoang,Male,Da Nang,Marketing,Bachelor,2.51,"Social Media, Excel, Power BI","L2, L3, L3"
U0169,Anh,Bui,Female,Hanoi,Finance,Bachelor,3.81,"Power BI, Excel","L3, L1"
U0170,Huy,Le,Male,Hanoi,Finance,Master,3.27,"Accounting, Power BI, Data Analysis, Excel, SQL","L4, L1, L4, L4, L3"
U0171,Minh,Dang,Male,Da Nang,Business Administration,Bachelor,2.88,"Leadership, Negotiation, Excel","L3, L1, L1"
U0172,Linh,Vo,Female,Da Nang,Computer Science,Master,3.96,"Machine Learning, R, Java, Python","L2, L2, L2, L4"
U0173,Minh,Nguyen,Female,Ho Chi Minh,Computer Science,Master,3.72,"R, Data Structures, Java","L1, L3, L1"
U0174,Phuc,Dang,Female,Hanoi,Marketing,Master,3.54,"Communication, Power BI","L3, L3"
U0175,Minh,Dang,Male,Hanoi,Information Systems,Master,2.55,Python,L1
U0176,Minh,Nguyen,Male,Da Nang,Finance,Bachelor,3.95,"Data Analysis, Excel","L2, L3"
U0177,Anh,Do,Female,Ho Chi Minh,Marketing,Bachelor,3.49,"Communication, Excel","L1, L2"
U0178,Anh,Vo,Female,Ho Chi Minh,Computer Science,Master,3.21,"Data Structures, R, Python, Machine Learning, Java","L3, L4, L3, L2, L4"
U0179,Tuan,Tran,Male,Ho Chi Minh,Computer Science,Bachelor,3.84,"Java, Data Structures, R, Python, Machine Learning","L2, L1, L2, L3, L4"
U0180,Nhi,Hoang,Male,Ho Chi Minh,Computer Science,Master,2.32,"Data Structures, R, Machine Learning","L1, L1, L2"
U0181,Linh,Pham,Female,Ho Chi Minh,Finance,Bachelor,2.28,Power BI,L3
U0182,Minh,Dang,Female,Ho Chi Minh,Finance,Bachelor,3.13,"Excel, SQL","L1, L2"
U0183,Minh,Bui,Female,Hanoi,Finance,Bachelor,2.11,"Excel, Power BI","L4, L1"
U0184,Huy,Nguyen,Female,Ho Chi Minh,Business Administration,Bachelor,3.33,"Negotiation, Communication, Project Management","L1, L2, L1"
U0185,Anh,Hoang,Male,Da Nang,Information Systems,Bachelor,2.48,"SQL, Excel, Power BI, Data Visualization","L3, L4, L4, L1"
U0186,Linh,Le,Male,Ho Chi Minh,Computer Science,Bachelor,2.24,Data Structures,L3
U0187,Hoa,Nguyen,Male,Hanoi,Computer Science,Master,2.82,Python,L3
U0188,Tuan,Le,Male,Ho Chi Minh,Business Administration,Bachelor,2.93,"Communication, Excel","L2, L1"
U0189,Nhi,Vo,Female,Hanoi,Computer Science,Bachelor,2.34,R,L1
U0190,Trang,Dang,Male,Ho Chi Minh,Computer Science,Bachelor,2.08,R,L4
U0191,Nhi,Bui,Female,Ho Chi Minh,Finance,Master,2.83,"Data Analysis, SQL, Excel, Power BI","L1, L3, L2, L3"
U0192,Phuc,Pham,Male,Hanoi,Finance,Bachelor,3.52,"SQL, Power BI, Excel, Data Analysis, Accounting","L3, L1, L3, L1, L3"
U0193,Minh,Le,Male,Hanoi,Information Systems,Bachelor,3.75,"Excel, Data Visualization, Python, Power BI, SQL","L3, L2, L2, L2, L3"
U0194,Tuan,Hoang,Male,Hanoi,Computer Science,Bachelor,2.2,"Machine Learning, R, Java","L3, L1, L2"
U0195,Phuc,Do,Female,Hanoi,Marketing,Master,3.05,"Social Media, Power BI, Communication, Excel","L4, L3, L1, L1"
U0196,Linh,Vo,Male,Ho Chi Minh,Computer Science,Bachelor,2.53,"R, Machine Learning, Data Structures, Java","L1, L3, L3, L4"
U0197,Trang,Do,Female,Ho Chi Minh,Computer Science,Master,2.75,"Machine Learning, Python, Java, R","L4, L4, L3, L3"
U0198,Anh,Vo,Female,Ho Chi Minh,Information Systems,Master,3.87,"Data Visualization, Power BI, Excel, Python","L4, L3, L2, L3"
U0199,Tuan,Tran,Male,Ho Chi Minh,Marketing,Bachelor,2.7,"Communication, Marketing Strategy, Power BI, Social Media, Excel","L3, L3, L1, L2, L4"
U0200,Tuan,Hoang,Female,Da Nang,Computer Science,Bachelor,2.73,Python,L4
U0201,Minh,Do,Male,Ho Chi Minh,Marketing,Master,2.42,"Power BI, Social Media","L3, L2"
U0202,Khanh,Bui,Female,Ho Chi Minh,Finance,Master,3.92,"Data Analysis, Excel, Accounting, SQL, Power BI","L4, L3, L2, L4, L1"
U0203,Tuan,Dang,Male,Da Nang,Finance,Bachelor,2.91,"Accounting, Data Analysis, Power BI, SQL","L1, L1, L1, L1"
U0204,Huy,Nguyen,Female,Ho Chi Minh,Marketing,Bachelor,3.14,Communication,L4
U0205,Trang,Pham,Female,Hanoi,Computer Science,Master,2.91,Machine Learning,L4
U0206,Trang,Dang,Male,Hanoi,Marketing,Master,2.51,"Communication, Excel","L4, L4"
U0207,Huy,Dang,Male,Ho Chi Minh,Marketing,Master,3.62,"Communication, Excel, Social Media, Marketing Strategy, Power BI","L4, L3, L3, L2, L4"
U0208,Hoa,Vo,Male,Ho Chi Minh,Finance,Master,2.06,"SQL, Power BI, Accounting, Excel","L1, L2, L4, L1"
U0209,Huy,Bui,Male,Hanoi,Marketing,Bachelor,3.38,Excel,L2
U0210,Huy,Vo,Female,Ho Chi Minh,Business Administration,Master,3.19,"Negotiation, Communication, Project Management","L3, L1, L1"
U0211,Trang,Phan,Female,Hanoi,Business Administration,Bachelor,2.29,"Communication, Leadership, Project Management","L3, L3, L4"
U0212,Nhi,Le,Female,Ho Chi Minh,Finance,Master,2.33,"Power BI, Excel, Accounting, SQL","L4, L1, L2, L3"
U0213,Trang,Pham,Female,Ho Chi Minh,Computer Science,Master,3.32,"R, Java","L3, L2"
U0214,Khanh,Le,Male,Da Nang,Computer Science,Bachelor,2.62,"R, Data Structures, Machine Learning","L4, L4, L1"
U0215,Minh,Nguyen,Female,Ho Chi Minh,Finance,Bachelor,2.53,Data Analysis,L1
U0216,Phuc,Phan,Male,Hanoi,Computer Science,Bachelor,2.12,Machine Learning,L2
U0217,Nhi,Hoang,Female,Da Nang,Information Systems,Bachelor,3.53,Power BI,L3
U0218,Anh,Nguyen,Male,Hanoi,Business Administration,Master,3.77,"Communication, Negotiation, Leadership","L4, L1, L4"
U0219,Phuc,Nguyen,Male,Da Nang,Information Systems,Bachelor,3.64,Excel,L2
U0220,Minh,Tran,Male,Hanoi,Information Systems,Bachelor,2.93,"Data Visualization, Excel","L1, L3"
U0221,Khanh,Pham,Male,Da Nang,Information Systems,Bachelor,3.07,"SQL, Power BI, Excel, Data Visualization","L1, L3, L1, L2"
U0222,Khanh,Vo,Male,Hanoi,Finance,Master,2.48,"Data Analysis, Power BI","L2, L1"
U0223,Anh,Bui,Female,Ho Chi Minh,Information Systems,Master,2.35,"SQL, Python, Data Visualization","L3, L3, L4"
U0224,Nhi,Le,Male,Ho Chi Minh,Marketing,Bachelor,3.65,"Marketing Strategy, Excel","L1, L2"
U0225,Hoa,Nguyen,Female,Hanoi,Computer Science,Master,3.6,"R, Python, Java, Data Structures","L2, L4, L4, L3"
